Company_Brand,HeadQuarter,Sector,Amount,Funding Year
Clanconnect,Delhi,Other,600000,2020
Servify,Mumbai,Other,23000000,2020
Sharechat,Bengaluru,Media and Entertainment,40000000,2020
Rephrase.Ai,Bengaluru,Information Technology (IT),1500000,2020
Melorra,Bengaluru,Fashion and Beauty,8090000,2020
Fabhotels,Gurugram,Events and Hospitality,1030000,2020
Ekanek,Delhi,Information Technology (IT),5040000,2020
Cub Mcpaws,Mumbai,Other,800000,2020
Zimyo,Gurgaon,Other,1500000,2020
Pumpumpum,Gurgaon,Manufacturing,360000,2020
Burgerama,Gurgaon,Agriculture and Food Production,0,2020
Moms Co,Gurgaon,Healthcare and Fitness,8000000,2020
Dillyhub,Seoul,Information Technology (IT),1400000,2020
Fpl Technologies,Pune,Banking and Financial Services,10000000,2020
Fittr,Pune,Healthcare and Fitness,2000000,2020
Illumnus,Pune,Education,100000,2020
Cashkaro,Gurgaon,E-Commerce and Retail,10000000,2020
Newton School,Bengaluru,Education,650000,2020
Airmeet,Bengaluru,Information Technology (IT),12000000,2020
Observe Ai,San Francisco,Information Technology (IT),54000000,2020
Incred,Mumbai,Banking and Financial Services,5000000,2020
Toppr,Mumbai,Education,35000000,2020
Cartrade,Mumbai,E-Commerce and Retail,42500000,2020
Lead School,Mumbai,Education,28000000,2020
Servify,Mumbai,Other,11370000,2020
Lido Learning,Mumbai,Education,7500000,2020
Apna.Co,Bengaluru,Career and Personal Development,8000000,2020
Quintype Technologies,Bengaluru,Information Technology (IT),325000,2020
Dunzo,Bengaluru,Information Technology (IT),28000000,2020
Entropik,Bengaluru,Other,8000000,2020
Livspace,Bengaluru,Career and Personal Development,9000000,2020
Ultraviolette Automotive,Bengaluru,Manufacturing,410000,2020
Winzo,Delhi,Media and Entertainment,18000000,2020
Sensehawk,Bengaluru,Other,5000000,2020
Railofy,Mumbai,Other,900000,2020
Eloelo,Bengaluru,E-Commerce and Retail,450000,2020
Aibono,Bengaluru,Other,2000000,2020
Buildpan,Indore,Other,500000,2020
Homelane,Bengaluru,Other,8000000,2020
Myglamm,Mumbai,Fashion and Beauty,1000000,2020
Aviom,Delhi,Banking and Financial Services,682000,2020
Flinto,Chennai,Education,7000000,2020
Waycool,Chennai,Agriculture and Food Production,5060000,2020
Yap,Chennai,Other,4050000,2020
Big Bang Boom Solutions,Chennai,Information Technology (IT),1050000,2020
Guvi,Chennai,Education,800000,2020
Blusmart,Gurugram,Manufacturing,7000000,2020
Cell Propulsion,Bengaluru,Other,0,2020
Mpl,Bengaluru,Media and Entertainment,50000000,2020
Spoonshot,Bengaluru,Other,1000000,2020
Pulse,Mumbai,Banking and Financial Services,750000,2020
Groww,Bengaluru,Banking and Financial Services,30000000,2020
I3 Systems,Mumbai,Banking and Financial Services,1050000,2020
Soal,Mumbai,Education,1000000,2020
Ockypocky,Gurugram,Education,400000,2020
Hippo Video,New York,Other,4000000,2020
Hasura,San Francisco,Information Technology (IT),25000000,2020
Qapita,Singapore,Banking and Financial Services,1080000,2020
Sunday,Bangkok,Banking and Financial Services,9000000,2020
Gamezop,Gurugram,Media and Entertainment,4300000,2020
Phool.Co,Kanpur,Other,1400000,2020
Chiratae Ventures,Bengaluru,Banking and Financial Services,0,2020
Medlife,Bengaluru,Healthcare and Fitness,6800000,2020
Idfy,Mumbai,Other,2110000,2020
True Balance,Gurugram,Banking and Financial Services,0,2020
Bira91,Delhi,Cultural Heritage,764000,2020
Max Wholesale,Delhi,E-Commerce and Retail,603000,2020
Craftsvilla,Mumbai,E-Commerce and Retail,409000,2020
Mechmocha,Bengaluru,Media and Entertainment,292000,2020
Mindhouse,Gurugram,Healthcare and Fitness,286000,2020
Deepsync,Chandigarh,Other,136000,2020
Eruditus,Mumbai,Other,0,2020
Gradeup,Noida,Other,546000,2020
Tracxn,Bengaluru,Banking and Financial Services,887000,2020
Purple Style Labs,Mumbai,Fashion and Beauty,43000,2020
Prophysio,Bengaluru,Healthcare and Fitness,40900,2020
Flickstree,Mumbai,Information Technology (IT),40900,2020
Settl,Gurugram,Other,0,2020
Fanspole,Thane,Media and Entertainment,0,2020
Sarva,Mumbai,Healthcare and Fitness,0,2020
Univ.Ai,Bengaluru,Education,0,2020
Purohitji,Bengaluru,Career and Personal Development,0,2020
Credolab,Singapore,Information Technology (IT),7000000,2020
Brick&Bolt,Bengaluru,Other,2200000,2020
Grinntech,Chennai,Other,2000000,2020
6Degree,Mumbai,Fashion and Beauty,340000,2020
Exprs,Unknown,Multinational Conglomerate Company,5660000,2020
Bikayi,Hyderabad,E-Commerce and Retail,2000000,2020
Virtual Forest,Bengaluru,Information Technology (IT),0,2020
The Health Company,Gurugram,Other,350000,2020
Trulymadly Matchmakers,Gurugram,Other,110000,2020
Truefan,Mumbai,Media and Entertainment,4300000,2020
Fanspole,Mumbai,Media and Entertainment,0,2020
Byju'S,Bengaluru,Education,122000000,2020
Avail Finance,Bengaluru,Banking and Financial Services,11635000,2020
The Money Club,Delhi,Information Technology (IT),0,2020
Virohan,Gurgaon,Healthcare and Fitness,2800000,2020
Onecode,Gurugram,E-Commerce and Retail,0,2020
Verloop.Io,Unknown,Information Technology (IT),5000000,2020
Otipy,Unknown,Information Technology (IT),1000000,2020
Evage,Chandigarh,Transportation and Tourism,0,2020
Lead School,Mumbai,Education,28000000,2020
Trell,Bengaluru,Other,11000000,2020
Captain Fresh,Bengaluru,Agriculture and Food Production,2300000,2020
Teachmint,Bengaluru,Education,0,2020
Pixxel,Bengaluru,Information Technology (IT),5000000,2020
Habbit Health,Delhi,Agriculture and Food Production,0,2020
Smarterbiz,Bengaluru,Information Technology (IT),1065000,2020
Able Jobs,Bengaluru,Other,2000000,2020
Vieroots,Kochi,Healthcare and Fitness,0,2020
Stack Finance,Bengaluru,Banking and Financial Services,0,2020
Fpl Technologies,Pune,Banking and Financial Services,10000000,2020
Masai School,Bengaluru,Education,2500000,2020
Mitron,Bengaluru,Media and Entertainment,5000000,2020
Daalchini,Unknown,Information Technology (IT),669000,2020
Suno India,Unknown,Media and Entertainment,0,2020
Lendingkart,Ahmedabad,Banking and Financial Services,16076000,2020
Text Mercato,Bengaluru,Other,649600,2020
Eden Smart Homes,Unknown,Information Technology (IT),0,2020
Grayquest,Mumbai,Education,1000000,2020
Bighaat,Bengaluru,Other,2000000,2020
Citycash,Mumbai,Banking and Financial Services,1000000,2020
Homelane,Chennai,Career and Personal Development,1000000,2020
Hungerbox,Bengaluru,Agriculture and Food Production,6700000,2020
Daveai,Bengaluru,Information Technology (IT),0,2020
Eduvanz,Mumbai,Banking and Financial Services,5000000,2020
Ziploan,Delhi,Banking and Financial Services,2000000,2020
Docsumo,Mumbai,Information Technology (IT),220000,2020
Cusmat,Warangal,Other,0,2020
Chingari,Bengaluru,Media and Entertainment,1300000,2020
Bolo Indya,Gurugram,Media and Entertainment,300000,2020
Data Sutram,Kolkata,Information Technology (IT),266500,2020
Wobot Intelligence,Delhi,Information Technology (IT),2500000,2020
Drinkprime,Bengaluru,Information Technology (IT),2879000,2020
Infeedo,Gurugram,Career and Personal Development,700000,2020
Probus Smart Things,Delhi,Information Technology (IT),0,2020
Crowdpouch,Bengaluru,Information Technology (IT),0,2020
Rebel Foods,Mumbai,Agriculture and Food Production,26500000,2020
Hevo,Bengaluru,Information Technology (IT),8000000,2020
Bigspoon Foods,Ahmedabad,Agriculture and Food Production,2000000,2020
Chingari,Bengaluru,Media and Entertainment,1000000,2020
Sharechat,Bengaluru,Media and Entertainment,351000,2020
Datstop,Delhi,Events and Hospitality,0,2020
Iphm Services,Mumbai,Healthcare and Fitness,0,2020
Wellcure,Gurugram,Healthcare and Fitness,200000,2020
Vilcart,Bengaluru,Other,0,2020
Firescore,Mumbai,Media and Entertainment,500000,2020
Bulbul,Gurgaon,E-Commerce and Retail,0,2020
Toppr,Mumbai,Education,46761000,2020
Pickright Technologies,Bengaluru,Banking and Financial Services,175000,2020
Muse Wearables,Chennai,Information Technology (IT),3000000,2020
Satya Microcapital,Delhi,Banking and Financial Services,0,2020
Wyn Studio,Gurugram,Media and Entertainment,0,2020
Fourth Partner Energy,Bengaluru,Energy,15000000,2020
Entri,Kochi,Education,1700000,2020
Snack Amor,Mumbai,Agriculture and Food Production,0,2020
Mpowered,Gurugram,Information Technology (IT),21000000,2020
Leap Club,Gurugram,Other,0,2020
Ather Energy,Bengaluru,Manufacturing,11241000,2020
Gigforce,Bengaluru,Career and Personal Development,804000,2020
Vegrow,Bengaluru,Other,2500000,2020
Finn,Bengaluru,Banking and Financial Services,0,2020
Bijnis,Unknown,E-Commerce and Retail,10000000,2020
Inurture,Bengaluru,Education,1340000,2020
Styledotme,Gurugram,Fashion and Beauty,467000,2020
Ripsey,Mumbai,Agriculture and Food Production,133000,2020
Thrivefnc,Pune,Healthcare and Fitness,0,2020
Vedantu,Bengaluru,Education,100000000,2020
Magicpin,Gurugram,Other,7000000,2020
Procol,Delhi,Other,3823000,2020
Yumlane,Mumbai,Information Technology (IT),1000000,2020
Crio,Bengaluru,Education,934000,2020
Openapp,Bengaluru,Information Technology (IT),500000,2020
Pumpumpum,Gurugram,Other,293000,2020
Ufony Services Pvt Ltd,Pune,Education,0,2020
Protinus Fashion Networking Pvt Ltd,Mumbai,Fashion and Beauty,0,2020
Uable,Bengaluru,Education,0,2020
Parksmart,Delhi,Information Technology (IT),198000,2020
Plum,Bengaluru,Healthcare and Fitness,927000,2020
Incnut Digital,Hyderabad,Other,4000000,2020
Gigindia,Pune,Information Technology (IT),971000,2020
Specsmaker,Chennai,Fashion and Beauty,3060000,2020
Piggy Ride,Bengaluru,Information Technology (IT),1862000,2020
Chai Waale,Chennai,Agriculture and Food Production,232000,2020
Noto,Mumbai,Agriculture and Food Production,0,2020
Cuemath,Bengaluru,Education,2888000,2020
Cars24,Gurgaon,Manufacturing,1328000,2020
Jetsynthesys,Pune,Other,40000000,2020
Earth Energy Ev,Mumbai,Manufacturing,0,2020
Green Cure,Delhi,Healthcare and Fitness,0,2020
Blue Sky Analytics,Gurugram,Information Technology (IT),1200000,2020
Edhusk,Jaipur,Education,0,2020
Decentro,Bengaluru,Banking and Financial Services,15500000,2020
Zolostays,Bengaluru,Other,56000000,2020
Frontier Markets,Jaipur,Other,2250000,2020
Brainwired,Kerala,Other,0,2020
Aye Finance,Gurugram,Banking and Financial Services,16753000,2020
Paper Boat,Gurugram,Agriculture and Food Production,3700000,2020
Ken42,Bengaluru,Education,1470000,2020
Forbidden Foods,Delhi,Agriculture and Food Production,1000000,2020
Universal Sportsbiz,Bengaluru,Fashion and Beauty,530000,2020
Gobbly,Gurugram,Information Technology (IT),500000,2020
Aerostrovilos,Chennai,Manufacturing,0,2020
Mitron,Bengaluru,Media and Entertainment,267000,2020
Bulk Mro,Mumbai,E-Commerce and Retail,3344000,2020
Inspektlabs,Delhi,Information Technology (IT),600000,2020
Big Bang Boom Solutions,Chennai,Defense,1000000,2020
Flinto,Chennai,Education,7200000,2020
Zetwerk,Bengaluru,E-Commerce and Retail,21000000,2020
Chitmonks,Hyderabad,Banking and Financial Services,650000,2020
Walrus,Bengaluru,Banking and Financial Services,0,2020
Arth Designbuild,Hyderebad,Construction,1100000,2020
Godutch,Mumbai,Banking and Financial Services,1700000,2020
Rusk Media,Delhi,Media and Entertainment,0,2020
Bold Care,Mumbai,Healthcare and Fitness,0,2020
Samosa Party,Bengaluru,Agriculture and Food Production,0,2020
High Street Essentials,Delhi,Other,2743000,2020
Byju'S,Bengaluru,Education,0,2020
Slice,Bengaluru,Banking and Financial Services,6082000,2020
Bombay Play,Bengaluru,Media and Entertainment,1500000,2020
Fullife,Mumbai,Healthcare and Fitness,6609000,2020
Oziva,Unknown,Other,5000000,2020
Aye Finance,Gurugram,Banking and Financial Services,27700000,2020
Aether Biomedical,Delhi,Healthcare and Fitness,0,2020
91Springboard,Delhi,Career and Personal Development,5940000,2020
Yulu,Unknown,Other,3964000,2020
Milkbasket,Gurugram,Transportation and Tourism,5500000,2020
Mergerdomo,Noida,E-Commerce and Retail,197000,2020
Gomechanic,Delhi,Other,0,2020
Milk Mantra,Odisha,Agriculture and Food Production,10000000,2020
Myglamm,Mumbai,Fashion and Beauty,4327000,2020
Drishti Technologies,Bengaluru,Information Technology (IT),25000000,2020
Instasolv,Noida,Education,2000000,2020
Goldenpi,Bengaluru,Banking and Financial Services,459000,2020
Peppermint,Unknown,Information Technology (IT),0,2020
Sarva,Mumbai,Healthcare and Fitness,0,2020
Jai Kisan,Mumbai,Banking and Financial Services,3937000,2020
Agro2O,Delhi,Other,0,2020
Letstransport,Bengaluru,Information Technology (IT),1313500,2020
Gabbardeals,Pune,Other,0,2020
Crimson Healthcare,Delhi,Healthcare and Fitness,229800,2020
Biomoneta,Bengaluru,Healthcare and Fitness,0,2020
Edvizo,Bengaluru,Education,150000,2020
Servify,Mumbai,Information Technology (IT),11370000,2020
Drum Food,Mumbai,Agriculture and Food Production,5305000,2020
Innoviti,Bengaluru,Information Technology (IT),0,2020
Jiffy Ai,Unknown,Information Technology (IT),18000000,2020
Postman,Unknown,Information Technology (IT),150000000,2020
F5,Unknown,E-Commerce and Retail,0,2020
Waycool,Chennai,Other,5500000,2020
Myelin Foundry,Unknown,Other,0,2020
Ameliorate Biotech,Bengaluru,Information Technology (IT),264000,2020
Hapramp,Gurugram,Blockchain,1000000,2020
Mykaam,Bengaluru,Other,0,2020
Healthplix,Bengaluru,Healthcare and Fitness,6000000,2020
Yolobus,Gurugram,Transportation and Tourism,3300000,2020
Inurture Education,Unknown,Education,4000000,2020
Pocket52,Bengaluru,Media and Entertainment,1750000,2020
Quaqua,Hyderabad,Transportation and Tourism,1000000,2020
Crofarm,Delhi,Other,1000000,2020
Timios,Bengaluru,Agriculture and Food Production,0,2020
Wooden Street,Jaipur,Other,3000000,2020
Bankbazaar,Chennai,Banking and Financial Services,5967000,2020
Rentmojo,Bengaluru,E-Commerce and Retail,2980000,2020
Credgencies,Unknown,Other,0,2020
Knorish,Delhi,Other,323000,2020
Letstransport,Bengaluru,Information Technology (IT),1326000,2020
Vahak,Unknown,Transportation and Tourism,0,2020
Nutrova,Mumbai,Other,0,2020
Cube Wealth,Mumbai,Information Technology (IT),500000,2020
Ivf Access,Bengaluru,Healthcare and Fitness,5000000,2020
Hoi Foods,Delhi,Agriculture and Food Production,2000000,2020
Ola Financial Services,Bengaluru,Banking and Financial Services,27000000,2020
Awifs,Delhi,Other,5200000,2020
Dunzo,Bengaluru,Transportation and Tourism,55000000,2020
Swiflearn,Gurugram,Education,0,2020
Remedo,Delhi,Healthcare and Fitness,0,2020
Blowhorn,Bengaluru,Transportation and Tourism,0,2020
Toch,Mumbai,Information Technology (IT),1000000,2020
Gram Cover,Noida,Banking and Financial Services,0,2020
Coin Dcx,Mumbai,Blockchain,2500000,2020
Homecapital,Mumbai,Banking and Financial Services,0,2020
Euler Motors,Delhi,Manufacturing,2530000,2020
Riskcovry,Mumbai,Banking and Financial Services,0,2020
Nwnt (No Worry No Tension Healthcare),Delhi,Healthcare and Fitness,0,2020
Voicezen,Gurugram,Information Technology (IT),0,2020
Leap Club,Gurugram,Other,340000,2020
Credit Mantri,Chennai,Banking and Financial Services,792000,2020
Xtracap,Gurugram,Banking and Financial Services,1000000,2020
Tring,Mumbai,Media and Entertainment,0,2020
Vakilsearch,Chennai,Career and Personal Development,0,2020
Khatabook,Bengaluru,Banking and Financial Services,60000000,2020
Lendingkart,Ahmedabad,Banking and Financial Services,11363000,2020
Illumnus,Unknown,Education,100000,2020
Letstransport,Bengaluru,Information Technology (IT),1715000,2020
Eggoz,Bihar,Other,329000,2020
Winuall,Bengaluru,Education,0,2020
Indian School Finance Company,Hyderabad,Banking and Financial Services,5271000,2020
Juicy Chemistry,Unknown,Other,650000,2020
Deeptek,Pune,Healthcare and Fitness,0,2020
Stepathlon Lifestyle,Mumbai,Healthcare and Fitness,0,2020
Sindhuja Microcredit,Noida,Banking and Financial Services,8700000,2020
Rentmojo,Bengaluru,E-Commerce and Retail,3226000,2020
Tesco Charge Zone,Gujarat,Other,0,2020
Intello Labs,Gurugram,Other,5900000,2020
Sirionlabs,Gurugram,Information Technology (IT),44000000,2020
Magicpin,Gurugram,Other,3879000,2020
Grocurv,Gurugram,E-Commerce and Retail,0,2020
Refrens,Bengaluru,Information Technology (IT),1000000,2020
Shiprocket,Unknown,Information Technology (IT),13000000,2020
Spyne,Gurugram,Information Technology (IT),0,2020
Nykaa,Mumbai,Other,8800000,2020
Docsapp,Bengaluru,Healthcare and Fitness,9500000,2020
Phable,Unknown,Healthcare and Fitness,1000000,2020
Generic Aadhaar,Unknown,Healthcare and Fitness,0,2020
Nium,Unknown,Banking and Financial Services,0,2020
Mintoak,Mumbai,Banking and Financial Services,2000000,2020
Vestspace,Pune,Information Technology (IT),10000000,2020
Blackbuck,Bengaluru,Transportation and Tourism,0,2020
Vernacular Ai,Bengaluru,Information Technology (IT),5100000,2020
Clover,Bengaluru,Other,920000,2020
Varthana,Bengaluru,Banking and Financial Services,15000000,2020
Codeninja,Bengaluru,Information Technology (IT),0,2020
Metamerphosys,Pune,Banking and Financial Services,0,2020
Rooter,Delhi,Media and Entertainment,1700000,2020
Aker Foods,Pune,Other,0,2020
Sascan Meditech Pvt Ltd,Kerala,Healthcare and Fitness,0,2020
Dailyhunt,Unknown,Media and Entertainment,35600000,2020
Pratilipi,Bengaluru,Media and Entertainment,9400000,2020
Biryani By Kilo,Delhi,Agriculture and Food Production,790000,2020
Consure Medical,Delhi,Healthcare and Fitness,480000,2020
Servify,Mumbai,Other,250000,2020
Tessol,Mumbai,Transportation and Tourism,160000,2020
Remedo,Noida,Healthcare and Fitness,0,2020
News Reach,Ahmedabad,Media and Entertainment,0,2020
Roomsoom,Noida,Real Estate,0,2020
Pedagogy,Unknown,Education,400000,2020
Classplus,Delhi,Education,8200000,2020
Medlife,Bengaluru,Healthcare and Fitness,15500000,2020
Qin1,Noida,Education,0,2020
Mysun,Delhi,Information Technology (IT),4257000,2020
Shopx,Bengaluru,Other,1410000,2020
Sarva,Unknown,Healthcare and Fitness,0,2020
Expertrons,Mumbai,Information Technology (IT),0,2020
Newsbytes,Gurugram,Media and Entertainment,1500000,2020
Wagonfly,Bengaluru,Other,500000,2020
Nira,Unknown,Banking and Financial Services,2100000,2020
Convosight,Hyderabad,Information Technology (IT),4000000,2020
Fittr,Pune,Healthcare and Fitness,2000000,2020
Asknbid,Bengaluru,Banking and Financial Services,0,2020
Bira91,Bengaluru,Agriculture and Food Production,20000000,2020
Finaureus Technologies,Pune,Banking and Financial Services,0,2020
Daily Ninja,Haryana,Other,349800,2020
Guvi Geek Network Pvt Ltd,Chennai,Education,786000,2020
Loadshare,Bengaluru,Transportation and Tourism,2004000,2020
Vedantu,Bengaluru,Education,6800000,2020
Indusface,Unknown,Other,5000000,2020
Dmi Group,Delhi,Banking and Financial Services,123000000,2020
Spintly,Goa,Information Technology (IT),248000,2020
Credr,Mumbai,Manufacturing,0,2020
Bijak,Gurugram,Other,12000000,2020
Bugworks,Bengaluru,Healthcare and Fitness,7500000,2020
Drinkprime,Bengaluru,Other,0,2020
Yap,Chennai,Banking and Financial Services,4500000,2020
Uzhavarbumi,Tamil Nadu,Agriculture and Food Production,0,2020
Tattva,Delhi,Fashion and Beauty,150000,2020
Pariksha,Pune,Education,0,2020
Dailyhunt,Unknown,Media and Entertainment,24000000,2020
Nobroker,Bengaluru,Other,30000000,2020
Box8,Mumbai,Agriculture and Food Production,4000000,2020
Capital Float,Bengaluru,Banking and Financial Services,15000000,2020
Itilite,Bengaluru,Other,13000000,2020
Morning Context,Unknown,Media and Entertainment,0,2020
Aavenir,Ahmedabad,Information Technology (IT),2000000,2020
Savvy Co Op,Unknown,Healthcare and Fitness,0,2020
Blive,Unknown,Other,0,2020
Yellow Messenger,Bengaluru,Information Technology (IT),20000000,2020
Toch,Unknown,Healthcare and Fitness,400000,2020
Ewar,Bengaluru,Media and Entertainment,200000,2020
Setu,Unknown,Banking and Financial Services,14259000,2020
Wellthy Therapeutics,Bengaluru,Healthcare and Fitness,4000000,2020
Power Gummies,Delhi,Healthcare and Fitness,0,2020
Locale Ai,Bengaluru,Information Technology (IT),0,2020
Fareye,Delhi,Transportation and Tourism,24500000,2020
Rebel Foods,Unknown,Agriculture and Food Production,50000000,2020
Bankbazaar,Chennai,Banking and Financial Services,3800000,2020
Porter,Mumbai,Transportation and Tourism,18370000,2020
Sugarbox,Mumbai,Information Technology (IT),68525000,2020
Capital Float,Bengaluru,Banking and Financial Services,4800000,2020
Big Basket,Bengaluru,E-Commerce and Retail,60000000,2020
Amica,Unknown,Banking and Financial Services,2000000,2020
Vedantu,Bengaluru,Education,12500000,2020
Fingerlix,Unknown,Agriculture and Food Production,1834000,2020
Plop,Mumbai,Information Technology (IT),0,2020
Zupee,Unknown,Media and Entertainment,8000000,2020
Dehaat,Unknown,Other,12000000,2020
Lido Learning,Mumbai,Education,7500000,2020
Aye Finance,Gurugram,Banking and Financial Services,23850000,2020
Swiggy,Bengaluru,Agriculture and Food Production,43000000,2020
Akna Medical,Unknown,Healthcare and Fitness,7000000,2020
Zomato,Gurugram,Agriculture and Food Production,5000000,2020
Rara Delivery,Unknown,Transportation and Tourism,800000,2020
Juspay,Bengaluru,Banking and Financial Services,21600000,2020
Obviously Ai,Unknown,Information Technology (IT),0,2020
Fingpay,Mumbai,Banking and Financial Services,3500000,2020
Recko,Bengaluru,Information Technology (IT),6000000,2020
Furlenco,Bengaluru,Other,10000000,2020
Mera Cashier,Noida,Banking and Financial Services,150000,2020
Kitchens Centre,Delhi,Other,500000,2020
Camp K12,Gurugram,Education,4000000,2020
Medgenome,Bengaluru,Healthcare and Fitness,55000000,2020
Ergos,Bengaluru,Other,4598000,2020
Nykaa,Mumbai,Other,13137000,2020
Samadhan,Delhi,Banking and Financial Services,0,2020
Sascan,Bengaluru,Healthcare and Fitness,0,2020
Lido Learning,Mumbai,Education,3000000,2020
Curefit,Bengaluru,Other,115000000,2020
Nimesa,Bengaluru,Information Technology (IT),0,2020
Design X,Noida,Information Technology (IT),200000,2020
Driftly Electric,Bengaluru,Manufacturing,0,2020
Imstrong,Bengaluru,Healthcare and Fitness,400000,2020
Craftsvilla,Mumbai,E-Commerce and Retail,3900000,2020
Rupifi,Bengaluru,Banking and Financial Services,0,2020
Snackamor,Mumbai,Agriculture and Food Production,0,2020
Zealthy,Bengaluru,Healthcare and Fitness,0,2020
Coindcx,Unknown,Banking and Financial Services,3000000,2020
Nunu Tv,Unknown,Media and Entertainment,670000,2020
Qtalk,Bengaluru,Information Technology (IT),1600000,2020
Shadez,Mumbai,Other,100000,2020
Excess2Sell,Mumbai,Other,1000000,2020
Stanplus,Hyderabad,Healthcare and Fitness,1500000,2020
Pitstop,Bengaluru,Manufacturing,2500000,2020
Univariety,Hyderabad,Education,1100000,2020
Peel Works,Mumbai,Information Technology (IT),0,2020
Corestack,Chennai,Information Technology (IT),8500000,2020
Vivriti Capital,Chennai,Banking and Financial Services,50000000,2020
Agnikul,Chennai,Information Technology (IT),3148000,2020
Fintso,Unknown,Banking and Financial Services,2600000,2020
Khatabook,Bengaluru,Banking and Financial Services,0,2020
Smart Coin,Unknown,Banking and Financial Services,7000000,2020
Zunroof,Gurugram,Information Technology (IT),3000000,2020
Shop101,Unknown,Other,3900000,2020
Om Bhakti,Bengaluru,Other,0,2020
Lal10,Uttar Pradesh,E-Commerce and Retail,1100000,2020
Anaxee Digital Runner,Indore,Information Technology (IT),0,2020
Collegekhabri,Bhopal,Education,0,2020
Ola Electric,Bengaluru,Other,1000000,2020
Multi Living,Mumbai,Other,6000000,2020
Fampay,Bengaluru,Banking and Financial Services,4700000,2020
Unboxrobotics Labs,Bengaluru,Other,500000,2020
Karbon Card,Bengaluru,Banking and Financial Services,2000000,2020
Airmeet,Bengaluru,Media and Entertainment,3000000,2020
Innerchef,Gurgaon,Agriculture and Food Production,1000000,2020
Epigamia,Mumbai,Other,0,2020
Stylenook,Mumbai,Other,0,2020
Callido Learning,Mumbai,Education,0,2020
Soxytoes,Delhi,Other,0,2020
F5,Delhi,E-Commerce and Retail,0,2020
Paper Boat,Bengaluru,Agriculture and Food Production,4049500,2020
Strata,Bengaluru,Career and Personal Development,1500000,2020
Salesken,Bengaluru,Other,8000000,2020
Arya,Noida,Other,6000000,2020
Leap Finance,Bengaluru,Banking and Financial Services,5500000,2020
Sleepy Owl,Delhi,Agriculture and Food Production,0,2020
Tricog,Bengaluru,Healthcare and Fitness,10500000,2020
Gogobus,Delhi,Transportation and Tourism,0,2020
Trell,Bengaluru,Other,4000000,2020
Spaciya Consultants,Noida,Other,500000,2020
Bounce,Bengaluru,Other,6500000,2020
Neeman,Unknown,Other,1000000,2020
Chqbook,Gurugram,Banking and Financial Services,5000000,2020
Smecorner,Mumbai,Banking and Financial Services,30000000,2020
Oda Class,Bengaluru,Education,0,2020
Spinny,Haryana,E-Commerce and Retail,43700000,2020
Gostops,Delhi,Real Estate,0,2020
Umeed Housing,Haryana,Banking and Financial Services,23000000,2020
Vogo,Bengaluru,Manufacturing,20000000,2020
Flick Stree,Mumbai,Other,3000000,2020
Qure Ai,Mumbai,Healthcare and Fitness,16000000,2020
Minionlabs,Bengaluru,Information Technology (IT),0,2020
Josh Talks,Haryana,Media and Entertainment,1500000,2020
Phoneparloan,Delhi,Banking and Financial Services,0,2020
Railyatri,Noida,Transportation and Tourism,13800000,2020
Ajnalens,Thane,Information Technology (IT),1500000,2020
Pepper,Mumbai,E-Commerce and Retail,306900,2020
Rupeek,Bengaluru,Banking and Financial Services,30000000,2020
Imerit,Kolkata,Other,20000000,2020
Bharatpe,Delhi,Banking and Financial Services,75000000,2020
Invideo,Unknown,Media and Entertainment,2500000,2020
Avalonmeta,Unknown,Education,420000,2020
Near Store,Mumbai,Other,300000,2020
Electorq,Delhi,Manufacturing,0,2020
Prayaan Capital,Chennai,Banking and Financial Services,1200000,2020
Sanfe,Delhi,Healthcare and Fitness,1100000,2020
Go Desi,Delhi,Agriculture and Food Production,627300,2020
Swiggy,Bengaluru,Agriculture and Food Production,113000000,2020
Whatfix,Bengaluru,Information Technology (IT),32000000,2020
Unacademy,Bengaluru,Education,110000000,2020
Zvesta,Gurugram,Career and Personal Development,5500000,2020
Dunzo,Bengaluru,Transportation and Tourism,11000000,2020
Digit Insurance,Bengaluru,Banking and Financial Services,340000,2020
Yolo,Gurugram,Transportation and Tourism,600000,2020
Smartvizx,Unknown,Other,1397000,2020
Maxwholesale,Delhi,Other,3000000,2020
Carbon Clean,Unknown,Information Technology (IT),16000000,2020
Onsitego,Unknown,E-Commerce and Retail,19000000,2020
Genius Corner,Noida,Education,250000,2020
Planetspark,Gurugram,Education,448500,2020
Camcom,Bengaluru,Other,0,2020
Simsim,Bengaluru,E-Commerce and Retail,8000000,2020
Shuttl,Delhi,Transportation and Tourism,7975700,2020
Hooliv,Delhi,Real Estate,0,2020
Classmonitor,Indore,Education,0,2020
Friyey,Pune,Other,0,2020
Oga,Bengaluru,Healthcare and Fitness,330000,2020
Big Basket,Bengaluru,E-Commerce and Retail,3500000,2020
Cyfirma,Bengaluru,Information Technology (IT),0,2020
Innoviti,Bengaluru,Other,5000000,2020
Paytm Money,Bengaluru,Banking and Financial Services,5600000,2020
Vedantu,Bengaluru,Education,24000000,2020
Yap,Chennai,Banking and Financial Services,1402000,2020
Clover,Bengaluru,Other,5500000,2020
Nova Credit,Unknown,Banking and Financial Services,50000000,2020
Codingninjas,Delhi,Education,5200000,2020
Furlenco,Bengaluru,Other,2200000,2020
Brick&Bolt,Bengaluru,Other,1500000,2020
Hempstreet,Unknown,Healthcare and Fitness,1000000,2020
Moengage,Bengaluru,E-Commerce and Retail,25000000,2020
